Spot_id,YMD,STN_ID,LAT,LON,Average_temperature,Sum_rainfall,Max_rainfall_1H,Max_rainfall_1H_occur_time,Average_humidity,Average_wind_speed
5502,20250527,108,37.57142,126.9658,27.0,-99.9,-99.9,0,36.0,1.97.11815320.04.51817290.0270.00273.61.9
5502,20250527,412,37.57047,126.94078,26.4,-99.9,-99.9,1,36.5,0.85.41548331.12.21236183.2315.00247.54.0
5502,20250527,419,37.55236,126.98736,27.0,-99.9,-99.9,1,34.4,1.46.01825259.23.6035493.9225.00202.81.2
5503,20250501,108,37.57142,126.9658,17.6,21.1,9.0,1237,27.0,2.28.00646110.03.82112200.0230.01189.02.4
5503,20250501,414,37.61134,126.99981,17.8,24.0,10.0,1328,24.5,1.56.72040220.73.02103220.5225.01233.74.5
5503,20250501,419,37.55236,126.98736,16.5,21.0,8.0,1327,26.7,1.15.90656135.62.62318227.790.00118.32.2
5503,20250502,108,37.57142,126.9658,18.5,-99.9,-99.9,0,34.0,3.112.11545230.05.71308290.0250.02266.22.4
5503,20250502,414,37.61134,126.99981,17.6,-99.9,-99.9,1,30.9,2.412.21547230.05.11344302.2292.51275.74.5
5503,20250502,419,37.55236,126.98736,18.4,-99.9,-99.9,1,33.5,2.211.11307321.46.11311300.1247.52246.12.2
5503,20250503,108,37.57142,126.9658,14.0,7.3,2.2,402,47.0,2.39.31544270.05.31552250.0270.01269.32.4
5503,20250503,414,37.61134,126.99981,12.8,7.0,2.0,434,44.1,1.67.61833206.84.11436312.5292.51271.94.5
5503,20250503,419,37.55236,126.98736,14.0,8.0,2.5,448,56.4,1.68.61542260.74.21402270.2225.01248.52.2
5503,20250504,108,37.57142,126.9658,19.9,-99.9,-99.9,0,24.0,2.814.31252270.07.21324250.0250.02246.42.4
5503,20250504,414,37.61134,126.99981,18.7,-99.9,-99.9,1,21.7,2.313.51154224.35.71203218.6270.02240.74.5
5503,20250504,419,37.55236,126.98736,18.6,-99.9,-99.9,1,22.2,2.217.31425243.15.11418219.8225.02226.52.2
5503,20250505,108,37.57142,126.9658,15.0,-99.9,-99.9,0,53.0,2.38.7145520.05.0145550.050.0247.72.4
5503,20250505,414,37.61134,126.99981,14.1,-99.9,-99.9,1,49.4,1.67.7143762.24.4143863.145.0133.54.5
5503,20250505,419,37.55236,126.98736,13.2,-99.9,-99.9,1,53.8,3.811.4142239.28.6151433.345.0348.12.2
5503,20250506,108,37.57142,126.9658,19.5,-99.9,-99.9,0,36.0,2.27.91843270.04.71849250.0270.00296.82.4
5503,20250506,414,37.61134,126.99981,18.8,-99.9,-99.9,1,35.0,1.87.91735298.84.72008300.9315.00302.94.5
5503,20250506,419,37.55236,126.98736,18.3,-99.9,-99.9,1,38.0,3.18.81724327.46.0043246.245.0031.22.2
5503,20250507,108,37.57142,126.9658,21.1,-99.9,-99.9,0,39.0,2.28.41554270.05.11619270.0250.01246.72.4
5503,20250507,414,37.61134,126.99981,20.3,-99.9,-99.9,1,36.5,1.78.61648227.93.91054182.2247.51236.14.5
5503,20250507,419,37.55236,126.98736,22.0,-99.9,-99.9,1,35.0,1.57.51659269.13.41656261.2225.01230.32.2
5503,20250508,108,37.57142,126.9658,24.9,-99.9,-99.9,0,24.0,1.87.61801290.04.91752290.0270.00242.22.4
5503,20250508,414,37.61134,126.99981,24.7,-99.9,-99.9,1,20.7,1.37.51825251.03.41826285.890.00227.34.5
5503,20250508,419,37.55236,126.98736,25.1,-99.9,-99.9,1,25.3,1.68.61828275.83.71826263.4225.00118.62.2
5503,20250509,108,37.57142,126.9658,17.4,17.6,3.6,1439,51.0,3.010.8125570.05.9142150.050.0360.72.4
5503,20250509,414,37.61134,126.99981,17.2,21.5,4.5,1526,47.8,2.38.4123060.04.9134151.845.0242.44.5
5503,20250509,419,37.55236,126.98736,17.2,7.5,2.0,1641,39.3,4.115.0141535.17.9141555.567.5461.72.2
5503,20250510,108,37.57142,126.9658,15.3,14.1,2.7,-235,92.0,3.510.90759230.06.00902230.0200.03208.62.4
5503,20250510,414,37.61134,126.99981,14.8,21.0,4.5,1134,90.5,3.011.90951230.76.11156227.6225.02222.94.5
5503,20250510,419,37.55236,126.98736,13.8,10.5,2.5,45,100.0,1.57.30620238.82.51144215.5202.51205.12.2
5503,20250511,108,37.57142,126.9658,20.2,-99.9,-99.9,0,55.0,1.97.61732270.04.71711270.0270.00231.72.4
5503,20250511,414,37.61134,126.99981,19.8,-99.9,-99.9,1,51.4,1.37.91727321.83.71808304.8225.00241.74.5
5503,20250511,419,37.55236,126.98736,20.6,-99.9,-99.9,1,55.7,1.04.81623245.22.4070488.5225.00209.92.2
5503,20250512,108,37.57142,126.9658,23.6,-99.9,-99.9,0,36.0,2.18.81354180.05.71356180.0230.01228.22.4
5503,20250512,414,37.61134,126.99981,22.8,-99.9,-99.9,1,33.2,1.67.71424215.83.91454234.2225.01235.74.5
5503,20250512,419,37.55236,126.98736,23.9,-99.9,-99.9,1,34.5,1.17.81253280.22.7063489.0202.50186.12.2
5503,20250513,108,37.57142,126.9658,25.8,-99.9,-99.9,0,27.0,2.712.61348230.06.51340230.0230.01223.22.4
5503,20250513,414,37.61134,126.99981,25.4,-99.9,-99.9,1,22.8,2.012.61417225.46.01327223.6225.01225.94.5
5503,20250513,419,37.55236,126.98736,25.8,-99.9,-99.9,1,26.2,1.37.81435248.52.41245199.390.00162.82.2
5503,20250514,108,37.57142,126.9658,26.7,-99.9,-99.9,0,31.0,2.49.71548270.05.61551250.0230.01224.82.4
5503,20250514,414,37.61134,126.99981,26.7,-99.9,-99.9,1,25.6,1.89.31534220.94.21230218.9225.01221.44.5
5503,20250514,419,37.55236,126.98736,27.4,-99.9,-99.9,1,29.2,1.05.22206219.52.7082966.8225.00183.12.2
5503,20250515,108,37.57142,126.9658,22.2,1.1,0.4,639,67.0,2.38.10152160.04.40903250.0200.02214.52.4
5503,20250515,414,37.61134,126.99981,22.1,1.5,1.0,842,63.9,1.99.60532238.34.40948225.3225.01230.24.5
5503,20250515,419,37.55236,126.98736,23.1,2.0,0.5,325,65.6,0.75.20856238.01.50151160.5202.50201.92.2
5503,20250516,108,37.57142,126.9658,22.0,51.3,14.2,1549,85.0,1.87.71607180.04.21709180.050.0029.22.4
5503,20250516,414,37.61134,126.99981,21.4,50.5,12.5,1658,84.3,1.26.71430223.53.6215143.445.0022.44.5
5503,20250516,419,37.55236,126.98736,20.9,77.0,38.0,1635,91.3,2.011.1231316.17.6231833.367.5168.02.2
5503,20250517,108,37.57142,126.9658,24.3,2.2,2.2,1725,62.0,2.611.71840160.06.01538250.0230.02228.92.4
